dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,selected_channels
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.2,5,64,13,0.5,0.6,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.2,6,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.2,7,64,13,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.2,8,64,13,0.25,0.25,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.2,9,64,13,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,0,64,19,0.5,0.24999999999999997,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,1,64,19,0.5,0.25,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,2,64,19,0.5,0.175,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,3,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,4,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,5,64,19,0.5,0.55,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,6,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,7,64,19,0.5,0.25,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,8,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.3,9,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,0,64,32,0.5,0.625,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,1,64,32,0.5,0.6000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,2,64,32,0.55,0.39999999999999997,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,3,64,32,0.5,0.75,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,4,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,5,64,32,0.5,0.425,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,6,64,32,0.5,0.09999999999999998,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,7,64,32,0.5,0.9500000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,8,64,32,0.5,0.55,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,3,0.5,9,64,32,0.775,0.9,
PhysionetMotorImagery,9,csp_lda,clean,all_channels,4,0.0,0,64,0,0.55,0.7000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,0,64,6,0.5,0.7,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,1,64,6,0.475,0.6,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,2,64,6,0.65,0.6000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,3,64,6,0.5,0.8,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,4,64,6,0.5,0.7,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,5,64,6,0.6,0.85,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,6,64,6,0.5,0.85,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,7,64,6,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,8,64,6,0.5,0.6,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.1,9,64,6,0.5,0.8,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,0,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,1,64,13,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,2,64,13,0.5,0.75,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,3,64,13,0.5,0.725,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,4,64,13,0.5,0.8,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,5,64,13,0.5,0.7,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,6,64,13,0.5,0.7000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,7,64,13,0.5,0.85,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,8,64,13,0.5,0.7000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.2,9,64,13,0.5,0.8500000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,0,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,1,64,19,0.5,0.9,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,2,64,19,0.5,0.7,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,3,64,19,0.5,0.9,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,4,64,19,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,5,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,6,64,19,0.5,0.75,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,7,64,19,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,8,64,19,0.5,0.75,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.3,9,64,19,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,0,64,32,0.5,0.8,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,1,64,32,0.5,0.65,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,2,64,32,0.5,0.6,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,3,64,32,0.5,0.625,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,4,64,32,0.575,0.7,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,5,64,32,0.5,0.7749999999999999,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,6,64,32,0.5,0.825,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,7,64,32,0.5,0.8,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,8,64,32,0.5,0.7000000000000001,
PhysionetMotorImagery,9,csp_lda,channel_dropout,all_channels,4,0.5,9,64,32,0.5,0.5,
PhysionetMotorImagery,9,csp_lda,clean,all_channels,5,0.0,0,64,0,0.2,0.04999999999999999,
