dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,6,csp_lda,reduced_montage,motor_extended,0.0,0.7556225581790386,0.6635467980295566,0.20238112830228766,0.12132987377729813,9,0.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.1,0.7665975879055545,0.5217241379310344,0.45583972550549645,0.46306472367160834,22,2.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.2,0.7333132325462884,0.5227955665024631,0.4464135528362889,0.4414624185842044,22,4.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.3,0.6719313742143705,0.5083620689655173,0.46115381009437884,0.4576990692773071,22,7.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.5,0.6324290810259895,0.5080295566502463,0.46021781075796697,0.45820808541114055,22,11.0
BNCI2014-001,7,csp_lda,clean,all_channels,0.0,0.9307966706302022,0.8439655172413794,0.11081349375728547,0.1216123697641954,22,0.0
BNCI2014-001,7,csp_lda,cross_session,all_channels,0.0,0.8981481481481481,0.7430555555555556,0.18306355964805482,0.19512989135351108,22,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_core,0.0,0.6965092576864278,0.6357142857142857,0.22588327268126798,0.14000920242386986,3,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_extended,0.0,0.739128588415152,0.694704433497537,0.20504068191922298,0.15176666927258414,9,0.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.1,0.9117593850857822,0.5616748768472906,0.4225811496482093,0.4344817019172333,22,2.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.2,0.8125373704773229,0.5414162561576354,0.4445480554976634,0.4492133067010981,22,4.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.3,0.7514939697638866,0.5207266009852217,0.45204885355603475,0.4551302128163786,22,7.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.5,0.692025649736708,0.5185098522167487,0.4459834548217828,0.45112812519030904,22,11.0
BNCI2014-001,8,csp_lda,clean,all_channels,0.0,0.9976048921352131,0.9758620689655173,0.022912649476952564,0.0386964004154728,22,0.0
BNCI2014-001,8,csp_lda,cross_session,all_channels,0.0,0.9928626543209877,0.9583333333333333,0.03773791450796455,0.037100594820928263,22,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_core,0.0,0.9348904365551215,0.8545566502463056,0.10367290369571713,0.10709026827629035,3,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_extended,0.0,0.9894088669950738,0.9376847290640395,0.03922034184725392,0.053427183124126976,9,0.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.1,0.7719322235434007,0.5849507389162562,0.36667049871731655,0.3769581873005694,22,2.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.2,0.7514820791574657,0.5624630541871921,0.4026679388540126,0.4125526629129282,22,4.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.3,0.6325760149481909,0.5117733990147783,0.46704765061709713,0.4680044030467648,22,7.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.5,0.6699057244776627,0.5283990147783251,0.45008752692618814,0.4506457030015032,22,11.0
BNCI2014-001,9,csp_lda,clean,all_channels,0.0,0.9194241549176152,0.8437192118226602,0.11284156816783338,0.11392805489107131,22,0.0
BNCI2014-001,9,csp_lda,cross_session,all_channels,0.0,0.9662422839506173,0.9305555555555556,0.0686250460981708,0.08468031165044586,22,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_core,0.0,0.889026668931544,0.8092364532019705,0.13841336955683772,0.15346352216682546,3,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_extended,0.0,0.8883047392559877,0.8264778325123153,0.13603030335802574,0.13868935837419644,9,0.0
