condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
channel_dropout_0.5,ece,calibration,9,0.30602677368544684,0.2826906111566249,0.32936293621426876,0.29887228409315136,0.29711165002911577,0.3171205992783013,10.080192129993357,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
cross_session_0,ece,calibration,9,0.013138648210364992,-0.02621098059649568,0.052488277017225665,-0.005508322000996602,-0.027571794797738094,0.03045513000724291,0.25665449308983923,small,4,0.4444444444444444,5,0.5555555555555556,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_core,ece,calibration,9,0.0037320826559254106,-0.024643732983557355,0.03210789829540818,-0.006862380155775699,-0.018624868624879998,0.0404172730033477,0.10109780510312308,negligible,4,0.4444444444444444,5,0.5555555555555556,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_extended,ece,calibration,9,-0.0026171262448261103,-0.01751741833798016,0.01228316584832794,-0.006065769914047309,-0.011484974104863405,0.01009777438701119,-0.13501086433272436,negligible,4,0.4444444444444444,5,0.5555555555555556,1.0,descriptive_or_not_fdr_significant
channel_dropout_0.1,roc_auc,primary,9,-0.030733820281977228,-0.04690296058567703,-0.014564679978277425,-0.02824273823679302,-0.04155342279599106,-0.01449889587226083,-1.4610613248383244,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.2,roc_auc,primary,9,-0.06314459354887411,-0.0894451714245008,-0.036844015673247424,-0.07452522507219306,-0.08576949210123996,-0.03205028027857981,-1.8454815521300956,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.3,roc_auc,primary,9,-0.10722703508672589,-0.14645187370590115,-0.06800219646755062,-0.11024460676065906,-0.1464013928996093,-0.06501868523866139,-2.101270479115877,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.5,roc_auc,primary,9,-0.1654972349621577,-0.20954596535995393,-0.12144850456436149,-0.15362408697129293,-0.19011890606420934,-0.13455325293018527,-2.887993250059595,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
cross_session_0,roc_auc,primary,9,-0.015107576288737355,-0.029853482461339204,-0.0003616701161355054,-0.001774966603543815,-0.028389864830857592,0.00046982444054399775,-0.7875210241847915,medium,6,0.6666666666666666,3,0.3333333333333333,0.56875,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,roc_auc,primary,9,-0.11725836589094613,-0.16898715441498083,-0.06552957736691142,-0.12870732121623918,-0.15659928656361477,-0.06334295906234066,-1.7424100089912216,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
reduced_montage_motor_extended,roc_auc,primary,9,-0.057161731121303044,-0.10146168053274376,-0.012861781709862324,-0.030796670630202416,-0.10349923560387297,-0.006030236113470422,-0.9918385166907319,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.1,balanced_accuracy,secondary,9,-0.2019622331691297,-0.2394753709171043,-0.1644490954211551,-0.2143226600985222,-0.2406034482758621,-0.17870689655172423,-4.138334574693779,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.2,balanced_accuracy,secondary,9,-0.25526409414340445,-0.3154427217752017,-0.1950854665116072,-0.2842241379310345,-0.3091625615763546,-0.21652709359605915,-3.2605155674504496,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.3,balanced_accuracy,secondary,9,-0.28790093048713733,-0.35876786473767963,-0.217033996236595,-0.31560344827586206,-0.3500123152709359,-0.22853448275862076,-3.122757429133861,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
channel_dropout_0.5,balanced_accuracy,secondary,9,-0.3144143404488232,-0.40086579258837446,-0.22796288830927197,-0.32756157635467986,-0.38121921182266005,-0.26014778325123167,-2.79556040335835,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
cross_session_0,balanced_accuracy,secondary,9,-0.055502341421881596,-0.12255351297154464,0.011548830127781448,-0.027887246852764003,-0.04393814997263268,-0.003838259441707681,-0.6362733907767473,medium,8,0.8888888888888888,1,0.1111111111111111,0.04557291666666667,non_normal_delta_check_wilcoxon
reduced_montage_motor_core,balanced_accuracy,secondary,9,-0.11276683087027914,-0.14987950120924134,-0.07565416053131693,-0.11059113300492618,-0.12105911330049268,-0.10701970443349751,-2.3355974830670556,large,9,1.0,0,0.0,0.004755434782608696,non_normal_delta_check_wilcoxon
reduced_montage_motor_extended,balanced_accuracy,secondary,9,-0.06101532567049807,-0.0992996851613272,-0.02273096617966893,-0.034852216748768594,-0.09051724137931039,-0.0314039408866994,-1.2250572224818679,large,9,1.0,0,0.0,0.004755434782608696,fdr_significant_ttest
