dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
BNCI2014-001,6,csp_lda,cross_session,all_channels,0.0,0.7854938271604938,0.6319444444444444,0.2493104525615137,0.236677639953304,22,0.0
BNCI2014-001,6,csp_lda,reduced_montage,motor_core,0.0,0.6763037200611517,0.6188423645320197,0.2298103322442795,0.1448374999242822,3,0.0
BNCI2014-001,6,csp_lda,reduced_montage,motor_extended,0.0,0.7556225581790386,0.6635467980295566,0.2023811283022876,0.1213298737772981,9,0.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.1,0.7665975879055545,0.5217241379310344,0.4558397255054964,0.4630647236716083,22,2.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.2,0.7333132325462884,0.5227955665024631,0.4464135528362889,0.4414624185842044,22,4.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.3,0.6719313742143705,0.5083620689655173,0.4611538100943788,0.4576990692773071,22,7.0
BNCI2014-001,7,csp_lda,channel_dropout,all_channels,0.5,0.6324290810259895,0.5080295566502463,0.4602178107579669,0.4582080854111405,22,11.0
BNCI2014-001,7,csp_lda,clean,all_channels,0.0,0.9307966706302022,0.8439655172413794,0.1108134937572854,0.1216123697641954,22,0.0
BNCI2014-001,7,csp_lda,cross_session,all_channels,0.0,0.8981481481481481,0.7430555555555556,0.1830635596480548,0.195129891353511,22,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_core,0.0,0.6965092576864278,0.6357142857142857,0.2258832726812679,0.1400092024238698,3,0.0
BNCI2014-001,7,csp_lda,reduced_montage,motor_extended,0.0,0.739128588415152,0.694704433497537,0.2050406819192229,0.1517666692725841,9,0.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.1,0.9117593850857822,0.5616748768472906,0.4225811496482093,0.4344817019172333,22,2.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.2,0.8125373704773229,0.5414162561576354,0.4445480554976634,0.4492133067010981,22,4.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.3,0.7514939697638866,0.5207266009852217,0.4520488535560347,0.4551302128163786,22,7.0
BNCI2014-001,8,csp_lda,channel_dropout,all_channels,0.5,0.692025649736708,0.5185098522167487,0.4459834548217828,0.451128125190309,22,11.0
BNCI2014-001,8,csp_lda,clean,all_channels,0.0,0.9976048921352132,0.9758620689655172,0.0229126494769525,0.0386964004154728,22,0.0
BNCI2014-001,8,csp_lda,cross_session,all_channels,0.0,0.9928626543209876,0.9583333333333331,0.0377379145079645,0.0371005948209282,22,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_core,0.0,0.9348904365551216,0.8545566502463056,0.1036729036957171,0.1070902682762903,3,0.0
BNCI2014-001,8,csp_lda,reduced_montage,motor_extended,0.0,0.9894088669950738,0.9376847290640395,0.0392203418472539,0.0534271831241269,9,0.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.1,0.7719322235434007,0.5849507389162562,0.3666704987173165,0.3769581873005694,22,2.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.2,0.7514820791574657,0.5624630541871921,0.4026679388540126,0.4125526629129282,22,4.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.3,0.6325760149481909,0.5117733990147783,0.4670476506170971,0.4680044030467648,22,7.0
BNCI2014-001,9,csp_lda,channel_dropout,all_channels,0.5,0.6699057244776627,0.5283990147783251,0.4500875269261881,0.4506457030015032,22,11.0
BNCI2014-001,9,csp_lda,clean,all_channels,0.0,0.9194241549176152,0.8437192118226602,0.1128415681678333,0.1139280548910713,22,0.0
BNCI2014-001,9,csp_lda,cross_session,all_channels,0.0,0.9662422839506172,0.9305555555555556,0.0686250460981708,0.0846803116504458,22,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_core,0.0,0.889026668931544,0.8092364532019705,0.1384133695568377,0.1534635221668254,3,0.0
BNCI2014-001,9,csp_lda,reduced_montage,motor_extended,0.0,0.8883047392559877,0.8264778325123153,0.1360303033580257,0.1386893583741964,9,0.0
