source_prefix,dataset,pipeline,stressor,montage,dropout_fraction,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,cross_session,all_channels,0.0,9,0.8529878257887517,0.7430887238510371,0.9334770380932694,0.7569444444444444,0.658179012345679,0.8526234567901235,0.1667666862792774,0.1067464258589084,0.2236935677031409,0.1604615685326915,0.1107130073980244,0.1953680485675263
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,reduced_montage,motor_core,0.0,9,0.7604892135213182,0.6539117689169585,0.8574718608673572,0.7029830322933771,0.6116525829791934,0.7943585885640672,0.1801173265326013,0.1317560607789979,0.2167641808692251,0.1178082758075257,0.1004092292148459,0.1342856461704457
BNCI2014-001_BNCI2014_001_all_csp_lda,BNCI2014-001,csp_lda,reduced_montage,motor_extended,0.0,9,0.8054111696204442,0.6884243939524886,0.8975303399203519,0.7519020251778872,0.6507748235461849,0.8440235036321762,0.1558234411324058,0.098414671713707,0.205637645970091,0.1166773584926137,0.0861076265166823,0.1364414866910413
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.1,9,0.8546369590245928,0.7616348176534755,0.9220618912630416,0.6251450465243569,0.5772885270694585,0.6899532112933211,0.2864215929924226,0.2386310924856641,0.3245176193590796,0.3080956411917687,0.2829753457256913,0.3336687549072078
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.2,9,0.8222261857576959,0.7242843583196801,0.8990454093957081,0.5718431855500821,0.547280828315237,0.6084894156908844,0.3509658671405183,0.3196091015255687,0.3688204241966593,0.3621113165057376,0.3516403783930596,0.3733238930638833
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.3,9,0.7781437442198442,0.6816930020206914,0.8631421953607212,0.5392063492063491,0.5218363437328954,0.5636116022360421,0.3809257563109551,0.3567625823793173,0.4018700848507505,0.3863778402156657,0.3715449232264418,0.4022500787561062
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.5,9,0.7198735443444124,0.6336792024052991,0.8055356580790562,0.5126929392446633,0.5073417138099539,0.5202268648160147,0.4259639626662936,0.4167691180729204,0.4395930569948117,0.4218467953493217,0.4076668295539818,0.4354092342731175
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,clean,all_channels,0.0,9,0.8853707793065699,0.8012548931527613,0.9432119681077272,0.8271072796934864,0.7476580378867227,0.894637975941823,0.1224909924117063,0.0808025751158609,0.1681449058870906,0.1158200216638747,0.100795783854223,0.1277430873109431
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,cross_session,all_channels,0.0,9,0.8702632030178327,0.7791514887285388,0.9368185343663022,0.771604938271605,0.6728395061728395,0.8713448591535864,0.148172823955948,0.0967911402649894,0.1939586116117092,0.1289586698742398,0.1049607876240628,0.1838538560757161
BNCI2014-001_BNCI2014_001_all_riemann_lr,BNCI2014-001,riemann_lr,reduced_montage,motor_core,0.0,9,0.768112413415624,0.6687646498636093,0.8618499785960847,0.7143404488232075,0.6340038314176245,0.8023369772759699,0.1827239583245228,0.1367590278362951,0.2167448806842838,0.1195521043198002,0.1019709850549284,0.1320064963209759
