subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
78,0.51,0.525,0.505,0.52,0.473,0.45,0.41,0.53,0.4599999999999999,0.51,0.595,0.508,0.4835,0.485,0.494,0.44,0.3849999999999999,0.44,0.4049999999999999,0.57
79,0.51,0.55,0.575,0.5205,0.56,0.71,0.5700000000000001,0.65,0.5599999999999999,0.5,0.575,0.5355,0.516,0.5055,0.502,0.655,0.615,0.525,0.5549999999999999,0.515
80,0.5800000000000001,0.528,0.52,0.5325,0.5835,0.62,0.53,0.48,0.5900000000000001,0.5700000000000001,0.515,0.5175,0.4895,0.4895,0.508,0.575,0.525,0.55,0.5,0.48
81,0.77,0.491,0.51,0.437,0.5135000000000001,0.72,0.62,0.63,0.525,0.635,0.705,0.5055,0.499,0.486,0.5025,0.67,0.55,0.525,0.5,0.5
82,0.5900000000000001,0.4975,0.451,0.4535,0.4429999999999999,0.61,0.53,0.54,0.51,0.44,0.5850000000000001,0.501,0.5075,0.5005,0.5015,0.515,0.515,0.5349999999999999,0.48,0.475
83,0.61,0.528,0.4955,0.4564999999999999,0.4205,0.8699999999999999,0.79,0.6799999999999999,0.67,0.3949999999999999,0.5449999999999999,0.5055,0.507,0.494,0.4905,0.8,0.6799999999999999,0.5349999999999999,0.5,0.465
84,0.64,0.546,0.524,0.522,0.505,0.72,0.76,0.5399999999999999,0.4899999999999999,0.5800000000000001,0.5349999999999999,0.5235,0.5185,0.5065,0.5175,0.725,0.6599999999999999,0.49,0.5349999999999999,0.54
85,0.93,0.8654999999999999,0.7909999999999999,0.7805,0.7015,0.99,0.98,0.75,0.93,0.93,0.875,0.6685,0.5915,0.556,0.5475,0.915,0.935,0.62,0.675,0.745
86,0.5199999999999999,0.52,0.4044999999999999,0.4105,0.441,0.4,0.5599999999999999,0.44,0.5199999999999999,0.41,0.5800000000000001,0.5165,0.4815,0.4885,0.467,0.5,0.5549999999999999,0.5,0.48,0.48
87,0.4599999999999999,0.483,0.522,0.507,0.527,0.43,0.4599999999999999,0.4899999999999999,0.47,0.51,0.49,0.487,0.4975,0.5045000000000001,0.4985,0.4349999999999999,0.51,0.5,0.49,0.48
88,0.4944444444444444,0.522888888888889,0.4653333333333333,0.4733333333333333,0.4571111111111111,0.6322222222222222,0.5111111111111111,0.4944444444444444,0.4677777777777777,0.5411111111111111,0.53,0.5133333333333333,0.4916666666666666,0.4986666666666666,0.5036666666666667,0.5833333333333334,0.48,0.45,0.4833333333333333,0.4433333333333333
89,0.63,0.5954999999999999,0.5515,0.593,0.5395,0.72,0.6900000000000001,0.61,0.53,0.4599999999999999,0.53,0.5145000000000001,0.5025,0.511,0.497,0.67,0.6599999999999999,0.6,0.545,0.44
90,0.64,0.541,0.5035000000000001,0.506,0.5105,0.44,0.6,0.605,0.47,0.64,0.5599999999999999,0.5165,0.5115,0.508,0.496,0.4549999999999999,0.6,0.47,0.505,0.53
91,0.5900000000000001,0.578,0.528,0.517,0.4905,0.61,0.72,0.6599999999999999,0.64,0.5,0.615,0.5065,0.4965,0.5035000000000001,0.501,0.53,0.5349999999999999,0.54,0.5,0.5
92,0.7288888888888889,0.594,0.521,0.5586666666666666,0.4924444444444444,0.6766666666666666,0.8422222222222222,0.5677777777777777,0.6011111111111112,0.4388888888888888,0.7066666666666667,0.516,0.511,0.5293333333333333,0.5086666666666667,0.5466666666666666,0.6799999999999999,0.5433333333333333,0.5,0.4699999999999999
